,latency
0,1.5750000000000003e-05
1,1.0360000000000002e-05
2,9.269999999999998e-06
3,1.3850000000000011e-05
4,1.1380000000000003e-05
5,9.100000000000004e-06
6,1.183e-05
7,1.0990000000000002e-05
8,1.5629999999999998e-05
9,1.5340000000000012e-05
10,1.7119999999999985e-05
11,1.024000000000001e-05
12,1.2209999999999993e-05
13,1.3009999999999986e-05
14,1.0720000000000006e-05
15,1.1939999999999997e-05
16,1.0839999999999998e-05
17,1.3700000000000008e-05
18,1.0300000000000006e-05
19,1.2279999999999998e-05
20,2.0150000000000002e-05
21,1.7249999999999986e-05
22,1.0170000000000006e-05
23,1.1959999999999987e-05
24,1.1229999999999986e-05
25,1.0449999999999983e-05
26,1.6950000000000005e-05
27,1.0249999999999992e-05
28,1.2889999999999993e-05
29,1.341999999999999e-05
30,1.005e-05
31,1.0719999999999992e-05
32,1.6999999999999993e-05
33,1.9100000000000003e-05
34,1.4109999999999985e-05
35,9.520000000000004e-06
36,1.150999999999999e-05
37,1.0349999999999994e-05
38,1.6380000000000002e-05
39,1.0360000000000002e-05
40,1.2180000000000009e-05
41,1.047e-05
42,1.0369999999999997e-05
43,1.3340000000000004e-05
44,1.7740000000000003e-05
45,1.0290000000000012e-05
46,1.115e-05
47,1.0229999999999988e-05
48,1.799999999999999e-05
49,1.0350000000000008e-05
50,1.6800000000000002e-05
51,1.1129999999999983e-05
52,1.5010000000000007e-05
53,9.570000000000005e-06
54,1.0420000000000012e-05
55,1.073e-05
56,1.0410000000000004e-05
57,1.4120000000000007e-05
58,1.5679999999999985e-05
59,1.6599999999999997e-05
60,1.0479999999999995e-05
61,1.5880000000000004e-05
62,1.511999999999999e-05
63,1.1229999999999986e-05
64,1.0120000000000005e-05
65,1.1960000000000014e-05
66,1.0720000000000006e-05
67,1.06e-05
68,9.71e-06
69,1.231000000000001e-05
70,1.2099999999999996e-05
71,1.3150000000000008e-05
72,1.2139999999999989e-05
73,1.7009999999999988e-05
74,1.225e-05
75,1.1649999999999999e-05
76,3.494e-05
77,1.0670000000000005e-05
78,1.0090000000000007e-05
79,9.410000000000006e-06
80,1.1850000000000017e-05
81,9.79e-06
82,1.5070000000000003e-05
83,2.205999999999999e-05
84,1.3020000000000007e-05
85,1.7989999999999995e-05
86,9.630000000000001e-06
87,1.3760000000000004e-05
88,9.689999999999997e-06
89,2.2130000000000007e-05
90,1.6870000000000006e-05
91,1.0969999999999998e-05
92,1.1809999999999997e-05
93,2.0600000000000013e-05
94,1.5109999999999996e-05
95,1.1049999999999998e-05
96,1.4600000000000016e-05
97,1.3219999999999999e-05
98,1.0800000000000005e-05
99,9.270000000000011e-06
100,1.5690000000000007e-05
101,9.85999999999999e-06
102,2.4739999999999983e-05
103,1.0280000000000003e-05
104,9.940000000000017e-06
105,2.0899999999999993e-05
106,1.047e-05
107,1.8039999999999997e-05
108,1.4190000000000012e-05
109,1.113000000000001e-05
110,1.5629999999999998e-05
111,2.393999999999999e-05
112,3.142999999999999e-05
113,1.0720000000000006e-05
114,1.4949999999999984e-05
115,1.081e-05
116,1.0239999999999997e-05
117,1.7900000000000015e-05
118,1.0869999999999996e-05
119,9.990000000000004e-06
120,1.0020000000000002e-05
121,1.848e-05
122,1.4219999999999996e-05
123,1.1579999999999994e-05
124,9.750000000000007e-06
125,1.6889999999999996e-05
126,1.136e-05
